file,treatment,replicate,egg_mass_count,number_nymphs_per_replicate,adult_molts_per_replicate,surviviorship,sex_ratio,nb.calls,intercall.dur,dom.freq,whine.dur,pulse.rate,nb.pulse,mass,temp
A1_Male_1_final.txt,High,A1,77,30,19,63.33333333,0.9,5,2.827797,199.4504033,0.532716,24.80568877,6,4.428,25
A1_Male_2_final.txt,High,A1,77,30,19,63.33333333,0.9,5,3.360141,196.0955203,0.404839,28.67679531,5,4.534,25
A1_Male_3_final.txt,High,A1,77,30,19,63.33333333,0.9,7,2.378229,188.6396982,0.776462,25.10933021,6,5.056,24.5
A1_Male_4_final.txt,High,A1,77,30,19,63.33333333,0.9,4,2.040885,182.6484018,0.62746,26.65145757,5,4.676,25
A1_Male_5_final.txt,High,A1,77,30,19,63.33333333,0.9,6,1.309404,183.5798062,0.705223,21.70013309,6,4.792,25
A1_Male_6_final.txt,High,A1,77,30,19,63.33333333,0.9,5,1.89122,183.4937204,0.752744,24.07839927,6,5.122,25
A1_Male_7_final.txt,High,A1,77,30,19,63.33333333,0.9,4,2.248559,179.5117281,0.964994,25.95272452,5,n/a,24
A1_Male_8_final.txt,High,A1,77,30,19,63.33333333,0.9,5,2.523238,186.1658117,0.998722,20.1164238,8,4.88,24.5
A1_Male_9_final.txt,High,A1,77,30,19,63.33333333,0.9,5,3.801745,181.1521275,0.695873,23.69387513,5,3.864,24
A2_Male_1_final.txt,High,A2,77,30,18,60,0.636363636,5,2.713093,166.8365928,1.043062,23.76058831,6,4.752,24.5
A2_Male_2_final.txt,High,A2,77,30,18,60,0.636363636,4,2.934393,188.4619412,0.786402,23.76350559,6,4.488,24
A3_Male_1_final.txt,High,A3,77,30,17,56.66666667,0.888888889,5,2.482948,181.9799418,0.78479,21.49536058,6,5.57,24.5
A3_Male_2_final.txt,High,A3,77,30,17,56.66666667,0.888888889,5,2.84873,188.7306813,0.800837,29.89581309,4,5.004,24.5
A3_Male_3_final.txt,High,A3,77,30,17,56.66666667,0.888888889,4,2.154092,184.3053735,0.86424,21.84407698,7,4.214,24.5
A3_Male_4_final.txt,High,A3,77,30,17,56.66666667,0.888888889,5,3.09043,196.9710234,0.699272,23.4677514,6,5.238,25
