treatment,replicate,sex,initial_nymphs,# of adults (5/4/2021),# of adults (5/7/2021),# of adults (5/10/2021),# of adults (5/12/2021),# of adults (5/14/2021),# of adults (5/20/2021),final adult count,total adults,# of adults that called,total responsive adults,survivorship,proportion_called,proportion_males
Medium,M3,# male,30,0,0,3,6,7,7,7,10,5,5,0.333333333,0.5,0.7
Medium,M3,#female,30,0,0,0,NA,3,3,3,10,0,5,0.333333333,0.5,0.7
Medium,O1,# male,30,2,6,8,9,10,10,10,22,5,5,0.733333333,0.227272727,0.454545455
Medium,O1,#female,30,1,7,9,12,12,12,12,22,0,5,0.733333333,0.227272727,0.454545455
Medium,O2,# male,30,0,10,10,10,12,12,12,24,2,10,0.8,0.416666667,0.5
Medium,O2,#female,30,0,5,9,10,12,12,12,24,8,10,0.8,0.416666667,0.5
Medium,O3,# male,30,0,No live bugs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medium,O3,#female,30,0,No live bugs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Low,Q1,# male,30,0,7,10,10,10,10,10,17,4,4,0.566666667,0.235294118,0.588235294
Low,Q1,#female,30,0,0,5,5,6,7,7,17,0,4,0.566666667,0.235294118,0.588235294
Low,Q2,# male,30,1,1,8,8,7,7,7,15,0,7,0.5,0.466666667,0.466666667
Low,Q2,#female,30,0,3,6,8,8,8,8,15,7,7,0.5,0.466666667,0.466666667
Low,Q3,# male,30,0,5,8,8,11,11,11,19,1,7,0.633333333,0.368421053,0.578947368
Low,Q3,#female,30,0,0,2,5,7,8,8,19,6,7,0.633333333,0.368421053,0.578947368
Low,R1,# male,30,3,5,4,4,6,7,7,17,0,6,0.566666667,0.352941176,0.411764706
Low,R1,#female,30,0,8,11,11,10,10,10,17,6,6,0.566666667,0.352941176,0.411764706
Low,R2,# male,30,No live bugs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Low,R2,#female,30,No live bugs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Low,R3,# male,30,0,10,13,15,15,15,15,23,8,15,0.766666667,0.652173913,0.652173913
Low,R3,#female,30,0,3,7,8,8,8,8,23,7,15,0.766666667,0.652173913,0.652173913
Low,W1,# male,30,0,0,3,3,6,6,6,21,4,12,0.7,0.571428571,0.285714286
Low,W1,#female,30,0,0,4,12,12,15,15,21,8,12,0.7,0.571428571,0.285714286
Low,X1,# male,30,0,0,1,1,1,1,1,8,0,4,0.266666667,0.5,0.125
Low,X1,#female,30,0,3,5,7,7,7,7,8,4,4,0.266666667,0.5,0.125
Low,Y1,# male,30,3,3,9,10,11,11,11,23,1,6,0.766666667,0.260869565,0.47826087
Low,Y1,#female,30,1,9,11,11,12,12,12,23,5,6,0.766666667,0.260869565,0.47826087
Low,Y2,# male,25,3,4,7,7,7,7,7,10,0,0,0.4,NA,0.7
Low,Y2,#female,25,0,2,3,3,3,3,3,10,0,0,0.4,NA,0.7
Low,Z1,# male,7,0,NA,1,1,1,1,1,7,1,5,1,0.714285714,0.142857143
Low,Z1,#female,7,0,NA,3,4,5,6,6,7,4,5,1,0.714285714,0.142857143
